wavelength continuum H1_lines metal_lines_Z1 metal_lines_Z2 metal_lines_Z3
2495.0 4.72287e-27 0.0 0.0 0.0 0.0
2505.0 4.75747e-27 0.0 0.0 0.0 0.0
2513.0 4.78559e-27 0.0 0.0 0.0 0.0
2518.0 4.80337e-27 0.0 0.0 0.0 0.0
2525.0 4.82853e-27 0.0 0.0 0.0 0.0
2535.0 4.86502e-27 0.0 0.0 0.0 0.0
2545.0 4.90216e-27 0.0 0.0 0.0 0.0
2555.0 4.93996e-27 0.0 0.0 0.0 0.0
2565.0 4.97842e-27 0.0 0.0 0.0 0.0
2575.0 5.01755e-27 0.0 0.0 0.0 0.0
2585.0 5.05736e-27 0.0 0.0 0.0 0.0
2595.0 5.09786e-27 0.0 0.0 0.0 0.0
2605.0 4.9745e-27 0.0 0.0 0.0 0.0
2615.0 5.01791e-27 0.0 0.0 0.0 0.0
2625.0 5.06213e-27 0.0 0.0 0.0 0.0
2635.0 5.10718e-27 0.0 0.0 0.0 0.0
2645.0 5.15305e-27 0.0 0.0 0.0 0.0
2655.0 5.19977e-27 0.0 0.0 0.0 0.0
2665.0 5.24732e-27 0.0 0.0 0.0 0.0
2675.0 5.29573e-27 0.0 0.0 0.0 0.0
2685.0 5.345e-27 0.0 0.0 0.0 0.0
2695.0 5.39513e-27 0.0 0.0 0.0 0.0
2705.0 5.44613e-27 0.0 0.0 0.0 0.0
2715.0 5.49801e-27 0.0 0.0 0.0 0.0
2725.0 5.55076e-27 0.0 0.0 0.0 0.0
2735.0 5.6044e-27 0.0 0.0 0.0 0.0
2745.0 5.65892e-27 0.0 0.0 0.0 0.0
2755.0 5.71433e-27 0.0 0.0 0.0 0.0
2765.0 5.77063e-27 0.0 0.0 0.0 0.0
2775.0 5.82783e-27 0.0 0.0 0.0 0.0
2785.0 5.88593e-27 0.0 0.0 0.0 0.0
2795.0 5.94493e-27 0.0 0.0 3.85862e-26 8.71303e-27
2805.0 6.00484e-27 0.0 0.0 0.0 0.0
2815.0 6.06566e-27 0.0 0.0 0.0 0.0
2825.0 6.12739e-27 0.0 0.0 0.0 0.0
2835.0 6.19003e-27 0.0 0.0 0.0 0.0
2845.0 6.25359e-27 0.0 0.0 0.0 0.0
2855.0 6.31807e-27 0.0 0.0 0.0 0.0
2865.0 6.38348e-27 0.0 0.0 0.0 0.0
2875.0 6.4498e-27 0.0 0.0 0.0 0.0
2885.0 6.51706e-27 0.0 0.0 0.0 0.0
2895.0 6.58524e-27 0.0 0.0 0.0 0.0
2910.0 6.68927e-27 0.0 0.0 0.0 0.0
2930.0 6.83124e-27 0.0 0.0 0.0 0.0
2950.0 6.97696e-27 0.0 0.0 0.0 0.0
2970.0 7.12644e-27 0.0 0.0 0.0 0.0
2990.0 7.27971e-27 0.0 0.0 0.0 0.0
3010.0 7.43676e-27 0.0 0.0 0.0 0.0
3030.0 7.59761e-27 0.0 0.0 0.0 0.0
3050.0 7.76227e-27 0.0 0.0 0.0 0.0
3070.0 7.93074e-27 0.0 0.0 0.0 0.0
3090.0 8.10302e-27 0.0 0.0 0.0 0.0
3110.0 8.27912e-27 0.0 0.0 0.0 0.0
3130.0 8.38768e-27 0.0 0.0 0.0 0.0
3150.0 8.52931e-27 0.0 0.0 0.0 0.0
3170.0 8.67303e-27 0.0 0.0 0.0 0.0
3190.0 8.8188e-27 0.0 0.0 0.0 0.0
3210.0 8.96661e-27 0.0 0.0 0.0 0.0
3230.0 9.11644e-27 0.0 0.0 0.0 0.0
3250.0 9.26828e-27 0.0 0.0 0.0 0.0
3270.0 9.42209e-27 0.0 0.0 0.0 0.0
3290.0 9.57788e-27 0.0 0.0 0.0 0.0
3310.0 9.73561e-27 0.0 0.0 0.0 0.0
3330.0 9.89527e-27 0.0 0.0 0.0 0.0
3350.0 1.00568e-26 0.0 0.0 0.0 0.0
3370.0 1.02203e-26 0.0 0.0 0.0 0.0
3390.0 1.03856e-26 0.0 0.0 0.0 0.0
3410.0 1.05528e-26 0.0 0.0 0.0 0.0
3430.0 1.07218e-26 0.0 0.0 0.0 0.0
3450.0 1.0237e-26 0.0 0.0 0.0 0.0
3470.0 1.0393e-26 0.0 0.0 0.0 0.0
3490.0 1.05506e-26 0.0 0.0 0.0 0.0
3510.0 1.07098e-26 0.0 0.0 0.0 0.0
3530.0 1.08704e-26 0.0 0.0 0.0 0.0
3550.0 1.10326e-26 0.0 0.0 0.0 0.0
3570.0 1.11963e-26 0.0 0.0 0.0 0.0
3590.0 1.13614e-26 0.0 0.0 0.0 0.0
3610.0 1.1528e-26 0.0 0.0 0.0 0.0
3630.0 1.1696e-26 0.0 0.0 0.0 0.0
3640.0 1.17806e-26 0.0 0.0 0.0 0.0
3650.0 2.53124e-27 0.0 0.0 0.0 0.0
3670.0 2.53505e-27 0.0 0.0 0.0 0.0
3690.0 2.39317e-27 7.18104e-28 0.0 0.0 0.0
3710.0 2.39517e-27 1.7117e-28 0.0 0.0 0.0
3730.0 2.39742e-27 0.0 5.42004e-26 1.98513e-25 3.33627e-25
3750.0 2.39991e-27 0.0 0.0 0.0 0.0
3770.0 2.40264e-27 0.0 0.0 0.0 0.0
3790.0 2.40562e-27 6.06501e-27 0.0 0.0 0.0
3810.0 2.40882e-27 0.0 0.0 0.0 0.0
3830.0 2.41226e-27 0.0 0.0 0.0 0.0
3850.0 2.41594e-27 0.0 0.0 0.0 0.0
3870.0 2.41984e-27 0.0 3.51982e-26 4.96355e-26 3.57948e-26
